"Location","Currency","Price","Property.Type","Size_Type","Size_Value","Size_Unit","Furnishing"
"Bangsar, Kuala Lumpur","RM",3880000,"Bungalow (Intermediate)","Land area  ",6000,"sq. ft.","Unfurnished"
"Bangsar, Kuala Lumpur","RM",8300000,"Bungalow","Land area  ",13217,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",9800000,"Bungalow (Intermediate)","Land area  ",14102,"sq. ft.","Fully Furnished"
"Bangsar, Kuala Lumpur","RM",9e+06,"Condominium","Built-up  ",4771,"sq. ft.","Unfurnished"
"Bangsar, Kuala Lumpur","RM",7500000,"Condominium","Built-up  ",4025,"sq. ft.","Unfurnished"
"Bangsar, Kuala Lumpur","RM",10500000,"Condominium","Built-up  ",6913,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",9e+06,"Bungalow","Land area  ",13000,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",2700000,"Condominium (Corner)","Built-up  ",3349,"sq. ft.","Fully Furnished"
"Bangsar, Kuala Lumpur","RM",5e+06,"Bungalow","Land area  ",5270,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",5200000,"Bungalow (Intermediate)","Built-up  ",4000,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",8500000,"Condominium (Corner)","Built-up  ",4771,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",5e+06,"Bungalow","Land area  ",6700,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",2600000,"2-sty Terrace/Link House (Corner)","Land area  ",3797,"sq. ft.","Fully Furnished"
"Bangsar, Kuala Lumpur","RM",3600000,"Condominium (Corner)","Built-up  ",3891,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",3380000,"3.5-sty Terrace/Link House (Intermediate)","Land area  ",2000,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",2052000,"Condominium (Corner)","Built-up  ",2280,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",1.8e+07,"Bungalow (Intermediate)","Land area  ",15000,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",2650000,"2-sty Terrace/Link House (Intermediate)","Land area  ",2029,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",4900000,"Bungalow (Intermediate)","Land area  ",6609,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",2430000,"Condominium","Built-up  ",3046,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",4275000,"Condominium (Corner)","Built-up  ",3239,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",7100000,"Condominium (Corner)","Built-up  ",4300,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",5115000,"Condominium (Corner)","Built-up  ",3300,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",10680000,"Condominium (Corner)","Built-up  ",6913,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",7700000,"Condominium (Corner)","Built-up  ",4771,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",6450000,"Condominium (Corner)","Built-up  ",4025,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",7400000,"Condominium (Corner)","Built-up  ",4945,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",10800000,"Condominium (Corner)","Built-up  ",6913,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",7500000,"Condominium (Corner)","Built-up  ",4771,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",7380000,"Condominium (Corner)","Built-up  ",4945,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",7912000,"Condominium (Corner)","Built-up  ",4945,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",11060800,"Condominium (Corner)","Built-up  ",6913,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",9631875,"Condominium (Corner)","Built-up  ",5137,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",7300000,"Condominium (Corner)","Built-up  ",4025,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",3200000,"Condominium (Corner)","Built-up  ",3200,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",4500000,"Semi-detached House","Land area  ",1760,"sq. ft.","Fully Furnished"
"Bangsar, Kuala Lumpur","RM",4877550,"Condominium (Intermediate)","Built-up  ",3613,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",3800000,"Semi-detached House (Intermediate)","Land area  ",3570,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",7e+06,"Bungalow","Land area  ",10000,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",4850000,"Bungalow","Land area  ",6058,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",1.2e+07,"Bungalow","Land area  ",9000,"sq. ft.","Partly Furnished"
