"Location","Currency","Price","Property.Type","Size_Type","Size_Value","Size_Unit","Furnishing"
"KLCC, Kuala Lumpur","RM",1799000,"Serviced Residence","Built-up  ",720,"sq. ft.","Fully Furnished"
"KLCC, Kuala Lumpur","RM",1820000,"Condominium (Corner)","Built-up  ",1159,"sq. ft.","Fully Furnished"
"KLCC, Kuala Lumpur","RM",1e+06,"Serviced Residence (Corner)","Built-up  ",1313,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",1650000,"Condominium (Corner)","Built-up  ",1905,"sq. ft.","Fully Furnished"
"KLCC, Kuala Lumpur","RM",2300000,"Serviced Residence","Built-up  ",1023,"sq. ft.","Partly Furnished"
"Mont Kiara, Kuala Lumpur","RM",2400000,"Condominium","Land area  ",2702,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",2055000,"Serviced Residence (Intermediate)","Built-up  ",797,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",1714000,"Serviced Residence (Intermediate)","Built-up  ",700,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",2300000,"Serviced Residence (Corner)","Built-up  ",3282,"sq. ft.","Partly Furnished"
"Bukit Jalil, Kuala Lumpur","RM",920000,"Condominium","Built-up  ",1513,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",2300000,"Serviced Residence (Intermediate)","Built-up  ",1046,"sq. ft.","Partly Furnished"
"Taman Tun Dr Ismail, Kuala Lumpur","RM",4995000,"Bungalow","Land area  ",8113,"sq. ft.","Partly Furnished"
"Mont Kiara, Kuala Lumpur","RM",1850000,"Condominium","Built-up  ",1830,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",1783000,"Condominium","Built-up  ",976,"sq. ft.","Partly Furnished"
"Dutamas, Kuala Lumpur","RM",1180000,"Condominium (Intermediate)","Built-up  ",1942,"sq. ft.","Partly Furnished"
"City Centre, Kuala Lumpur","RM",1700000,"Serviced Residence (Intermediate)","Built-up  ",1442,"sq. ft.","Fully Furnished"
"Mont Kiara, Kuala Lumpur","RM",3100000,"Condominium (Corner)","Built-up  ",3400,"sq. ft.","Fully Furnished"
"Bukit Jalil, Kuala Lumpur","RM",630000,"Serviced Residence","Built-up  ",791,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",1780000,"Serviced Residence (Corner)","Built-up  ",728,"sq. ft.","Fully Furnished"
"Desa ParkCity, Kuala Lumpur","RM",1050000,"Condominium","Built-up  ",1389,"sq. ft.","Partly Furnished"
"Mont Kiara, Kuala Lumpur","RM",2600000,"Condominium","Built-up  ",3041,"sq. ft.","Partly Furnished"
"Bangsar South, Kuala Lumpur","RM",630000,"Serviced Residence","Built-up  ",663,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",3364000,"Serviced Residence","Built-up  ",1399,"sq. ft.","Fully Furnished"
"Bukit Jalil, Kuala Lumpur","RM",978000,"Condominium","Built-up  ",1513,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",3600000,"Serviced Residence (Corner)","Built-up  ",3897,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",2e+06,"Serviced Residence","Built-up  ",1087,"sq. ft.","Fully Furnished"
"Mont Kiara, Kuala Lumpur","RM",1630000,"Condominium","Built-up  ",2065,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",1250000,"Condominium","Built-up  ",736,"sq. ft.","Partly Furnished"
"Bangsar South, Kuala Lumpur","RM",630000,"Serviced Residence","Built-up  ",650,"sq. ft.","Fully Furnished"
"KLCC, Kuala Lumpur","RM",1350000,"Serviced Residence","Built-up  ",1050,"sq. ft.","Fully Furnished"
"Bangsar South, Kuala Lumpur","RM",490000,"Serviced Residence (Intermediate)","Built-up  ",500,"sq. ft.","Fully Furnished"
"Bangsar South, Kuala Lumpur","RM",8e+05,"Serviced Residence (Corner)","Built-up  ",825,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",1e+06,"Condominium (EndLot)","Built-up  ",657,"sq. ft.","Fully Furnished"
"Sungai Besi, Kuala Lumpur","RM",448800,"Serviced Residence (Intermediate)","Built-up  ",1045,"sq. ft.","Unfurnished"
