"Location","Currency","Price","Property.Type","Size_Type","Size_Value","Size_Unit","Furnishing"
"Dutamas, Kuala Lumpur","RM",470000,"Condominium (Intermediate)","Built-up  ",1100,"sq. ft.","Partly Furnished"
"Batu Caves, Kuala Lumpur","RM",750000,"Serviced Residence (Intermediate)","Built-up  ",1109,"sq. ft.","Partly Furnished"
"Kepong, Kuala Lumpur","RM",530000,"Condominium (Intermediate)","Built-up  ",1074,"sq. ft.","Partly Furnished"
"Dutamas, Kuala Lumpur","RM",540000,"Condominium (EndLot)","Built-up  ",1100,"sq. ft.","Partly Furnished"
"Dutamas, Kuala Lumpur","RM",468000,"Condominium (Corner)","Built-up  ",1200,"sq. ft.","Partly Furnished"
"Bandar Menjalara, Kuala Lumpur","RM",740000,"Condominium (Intermediate)","Built-up  ",1358,"sq. ft.","Partly Furnished"
"Dutamas, Kuala Lumpur","RM",1200000,"Condominium (Corner)","Built-up  ",2070,"sq. ft.","Partly Furnished"
"Kepong, Kuala Lumpur","RM",465000,"Condominium (Intermediate)","Built-up  ",948,"sq. ft.","Unfurnished"
"Setapak, Kuala Lumpur","RM",518000,"Condominium","Built-up  ",1100,"sq. ft.","Partly Furnished"
"Setapak, Kuala Lumpur","RM",475000,"Condominium","Built-up  ",1333,"sq. ft.","Partly Furnished"
"Setapak, Kuala Lumpur","RM",540000,"Condominium (Corner)","Built-up  ",1500,"sq. ft.","Fully Furnished"
"Setapak, Kuala Lumpur","RM",4e+05,"Condominium (Intermediate)","Built-up  ",1207,"sq. ft.","Partly Furnished"
"Setapak, Kuala Lumpur","RM",430000,"Condominium (Intermediate)","Built-up  ",1272,"sq. ft.","Partly Furnished"
"Setapak, Kuala Lumpur","RM",423000,"Condominium (Intermediate)","Built-up  ",1303,"sq. ft.","Partly Furnished"
"Setapak, Kuala Lumpur","RM",530000,"Condominium (Intermediate)","Built-up  ",1438,"sq. ft.","Partly Furnished"
"Setapak, Kuala Lumpur","RM",4e+05,"Serviced Residence (Intermediate)","Built-up  ",900,"sq. ft.","Partly Furnished"
"Setapak, Kuala Lumpur","RM",550000,"Condominium (Intermediate)","Built-up  ",1600,"sq. ft.","Partly Furnished"
"Setapak, Kuala Lumpur","RM",395000,"Condominium (Intermediate)","Built-up  ",1272,"sq. ft.","Partly Furnished"
"Setapak, Kuala Lumpur","RM",480000,"Condominium (Intermediate)","Built-up  ",1313,"sq. ft.","Partly Furnished"
"Mont Kiara, Kuala Lumpur","RM",3600000,"3.5-sty Terrace/Link House (Intermediate)","Land area  ",2000,"sq. ft.","Partly Furnished"
"Setapak, Kuala Lumpur","RM",438000,"Condominium (Intermediate)","Built-up  ",1382,"sq. ft.","Partly Furnished"
"Cheras, Kuala Lumpur","RM",360000,"Condominium (Intermediate)","Built-up  ",1020,"sq. ft.","Unfurnished"
"Cheras, Kuala Lumpur","RM",520000,"Condominium (Intermediate)","Built-up  ",1060,"sq. ft.","Partly Furnished"
"Sri Petaling, Kuala Lumpur","RM",388000,"Condominium (Intermediate)","Built-up  ",935,"sq. ft.","Unfurnished"
"Sungai Besi, Kuala Lumpur","RM",580000,"Condominium","Built-up  ",1106,"sq. ft.","Unfurnished"
"Sungai Besi, Kuala Lumpur","RM",610000,"Condominium","Built-up  ",1106,"sq. ft.","Partly Furnished"
"Bukit Jalil, Kuala Lumpur","RM",8e+05,"Serviced Residence","Built-up  ",1025,"sq. ft.","Fully Furnished"
"Bukit Jalil, Kuala Lumpur","RM",790000,"Serviced Residence","Built-up  ",1025,"sq. ft.","Partly Furnished"
"Bukit Jalil, Kuala Lumpur","RM",1e+06,"Serviced Residence","Built-up  ",1254,"sq. ft.","Partly Furnished"
"Bukit Jalil, Kuala Lumpur","RM",8e+05,"Serviced Residence","Built-up  ",1170,"sq. ft.","Partly Furnished"
"Bukit Jalil, Kuala Lumpur","RM",288000,"Apartment","Built-up  ",725,"sq. ft.","Partly Furnished"
"Bukit Jalil, Kuala Lumpur","RM",1380000,"Serviced Residence","Built-up  ",1521,"sq. ft.","Partly Furnished"
"Bukit Jalil, Kuala Lumpur","RM",840000,"Serviced Residence","Built-up  ",1025,"sq. ft.","Partly Furnished"
"Bukit Jalil, Kuala Lumpur","RM",1050000,"Serviced Residence","Built-up  ",1254,"sq. ft.","Partly Furnished"
"Bukit Jalil, Kuala Lumpur","RM",950000,"Serviced Residence","Built-up  ",1339,"sq. ft.","Partly Furnished"
"Bukit Jalil, Kuala Lumpur","RM",2030000,"Serviced Residence (Corner)","Built-up  ",2536,"sq. ft.","Partly Furnished"
"Bukit Jalil, Kuala Lumpur","RM",780000,"Serviced Residence","Built-up  ",971,"sq. ft.","Partly Furnished"
"Bukit Jalil, Kuala Lumpur","RM",1100000,"Condominium","Built-up  ",1772,"sq. ft.","Partly Furnished"
"Bukit Jalil, Kuala Lumpur","RM",950000,"Condominium","Built-up  ",1513,"sq. ft.","Partly Furnished"
"Bukit Jalil, Kuala Lumpur","RM",668000,"Serviced Residence","Land area  ",791,"sq. ft.","Partly Furnished"
"Bukit Jalil, Kuala Lumpur","RM",450000,"Apartment","Built-up  ",952,"sq. ft.","Partly Furnished"
"Cheras, Kuala Lumpur","RM",298000,"Apartment","Built-up  ",780,"sq. ft.","Partly Furnished"
"Cheras, Kuala Lumpur","RM",350000,"Condominium (EndLot)","Built-up  ",943,"sq. ft.","Partly Furnished"
"Keramat, Kuala Lumpur","RM",5e+05,"Condominium (EndLot)","Built-up  ",1046,"sq. ft.","Partly Furnished"
"Sungai Besi, Kuala Lumpur","RM",428000,"Serviced Residence (Intermediate)","Built-up  ",800,"sq. ft.","Fully Furnished"
"Cheras, Kuala Lumpur","RM",528363,"Condominium (Corner)","Built-up  ",1000,"sq. ft.","Unfurnished"
"Jalan Kuching, Kuala Lumpur","RM",884058,"Serviced Residence (Corner)","Built-up  ",1539,"sq. ft.","Unfurnished"
"Jalan Kuching, Kuala Lumpur","RM",497057,"Serviced Residence (Intermediate)","Built-up  ",858,"sq. ft.","Unfurnished"
"Bandar Menjalara, Kuala Lumpur","RM",435000,"Condominium (Intermediate)","Land area  ",1076,"sq. ft.","Unfurnished"
"Bandar Menjalara, Kuala Lumpur","RM",380000,"Condominium","Land area  ",982,"sq. ft.","Partly Furnished"
"Seputeh, Kuala Lumpur","RM",2200000,"Condominium (Penthouse)","Land area  ",2900,"sq. ft.","Fully Furnished"
"Segambut, Kuala Lumpur","RM",435000,"Apartment (Corner)","Built-up  ",1108,"sq. ft.","Partly Furnished"
"Setapak, Kuala Lumpur","RM",5e+05,"Serviced Residence (Corner)","Land area  ",1059,"sq. ft.","Partly Furnished"
"Setapak, Kuala Lumpur","RM",428000,"Serviced Residence (Intermediate)","Land area  ",842,"sq. ft.","Partly Furnished"
"Segambut, Kuala Lumpur","RM",370000,"Apartment (Intermediate)","Built-up  ",1052,"sq. ft.","Partly Furnished"
"Jalan Kuching, Kuala Lumpur","RM",295000,"Flat (Intermediate)","Built-up  ",774,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",7300000,"Condominium (Corner)","Land area  ",4657,"sq. ft.","Unfurnished"
"Mont Kiara, Kuala Lumpur","RM",8e+05,"Serviced Residence","Land area  ",1248,"sq. ft.","Fully Furnished"
"Kepong, Kuala Lumpur","RM",575000,"Serviced Residence (Corner)","Built-up  ",1162,"sq. ft.","Unfurnished"
"Setapak, Kuala Lumpur","RM",458000,"Serviced Residence (Intermediate)","Land area  ",932,"sq. ft.","Unfurnished"
"Bangsar South, Kuala Lumpur","RM",950000,"Serviced Residence","Land area  ",1014,"sq. ft.","Fully Furnished"
"Setapak, Kuala Lumpur","RM",520000,"Serviced Residence (Corner)","Land area  ",1059,"sq. ft.","Unfurnished"
"Jalan Ipoh, Kuala Lumpur","RM",650000,"Townhouse (Intermediate)","Built-up  ",1727,"sq. ft.","Partly Furnished"
"Bandar Menjalara, Kuala Lumpur","RM",380000,"Apartment (Intermediate)","Land area  ",969,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",1100000,"Condominium","Built-up  ",1475,"sq. ft.","Partly Furnished"
"Setapak, Kuala Lumpur","RM",720000,"Serviced Residence (Intermediate)","Land area  ",1270,"sq. ft.","Fully Furnished"
"Sri Hartamas, Kuala Lumpur","RM",1200000,"Serviced Residence","Land area  ",1460,"sq. ft.","Partly Furnished"
"Desa Petaling, Kuala Lumpur","RM",365000,"Condominium (Corner)","Built-up  ",956,"sq. ft.","Partly Furnished"
"Taman Tun Dr Ismail, Kuala Lumpur","RM",5800000,"Bungalow","Land area  ",7319,"sq. ft.","Unfurnished"
"Jalan Ipoh, Kuala Lumpur","RM",710000,"Townhouse (Intermediate)","Land area  ",1080,"sq. ft.","Partly Furnished"
"Jalan Ipoh, Kuala Lumpur","RM",860000,"Townhouse (Corner)","Land area  ",2470,"sq. ft.","Partly Furnished"
"Jalan Kuching, Kuala Lumpur","RM",518000,"Condominium","Built-up  ",1097,"sq. ft.","Fully Furnished"
"Mont Kiara, Kuala Lumpur","RM",1750000,"Condominium","Built-up  ",2676,"sq. ft.","Fully Furnished"
"Cheras, Kuala Lumpur","RM",930000,"Serviced Residence (Intermediate)","Built-up  ",1127,"sq. ft.","Fully Furnished"
"Segambut, Kuala Lumpur","RM",1100000,"Condominium (Corner)","Built-up  ",1788,"sq. ft.","Partly Furnished"
"Segambut, Kuala Lumpur","RM",850000,"Condominium (Corner)","Built-up  ",1319,"sq. ft.","Partly Furnished"
"Segambut, Kuala Lumpur","RM",845000,"Condominium (Corner)","Built-up  ",1306,"sq. ft.","Partly Furnished"
"Segambut, Kuala Lumpur","RM",1200000,"Condominium (Corner)","Built-up  ",1788,"sq. ft.","Partly Furnished"
"Segambut, Kuala Lumpur","RM",9e+05,"Condominium (Corner)","Built-up  ",1306,"sq. ft.","Partly Furnished"
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM",7e+05,"Serviced Residence","Built-up  ",1010,"sq. ft.","Fully Furnished"
"Taman Tun Dr Ismail, Kuala Lumpur","RM",4850000,"Bungalow","Land area  ",6000,"sq. ft.","Partly Furnished"
"Jalan Kuching, Kuala Lumpur","RM",450000,"Condominium (Corner)","Built-up  ",1100,"sq. ft.","Partly Furnished"
"Setapak, Kuala Lumpur","RM",420000,"Condominium (Intermediate)","Land area  ",1001,"sq. ft.","Partly Furnished"
"Sri Hartamas, Kuala Lumpur","RM",2600000,"Semi-detached House (Intermediate)","Land area  ",4400,"sq. ft.","Partly Furnished"
"Pantai, Kuala Lumpur","RM",720000,"Condominium","Built-up  ",1019,"sq. ft.","Fully Furnished"
"Pantai, Kuala Lumpur","RM",955000,"Condominium","Built-up  ",1390,"sq. ft.","Unfurnished"
"Bangsar South, Kuala Lumpur","RM",1150000,"Condominium","Built-up  ",1260,"sq. ft.","Fully Furnished"
"Bangsar South, Kuala Lumpur","RM",1200000,"Condominium","Built-up  ",1485,"sq. ft.","Fully Furnished"
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM",7e+05,"Serviced Residence","Built-up  ",1094,"sq. ft.","Partly Furnished"
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM",2000,"Serviced Residence","Built-up  ",785,"sq. ft.","Partly Furnished"
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM",750000,"Serviced Residence","Built-up  ",1148,"sq. ft.","Partly Furnished"
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM",580000,"Serviced Residence (Corner)","Built-up  ",716,"sq. ft.","Fully Furnished"
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM",630000,"Serviced Residence (Corner)","Built-up  ",852,"sq. ft.","Fully Furnished"
"Damansara Heights, Kuala Lumpur","RM",4e+05,"Serviced Residence","Built-up  ",560,"sq. ft.","Fully Furnished"
"KL City, Kuala Lumpur","RM",985000,"Serviced Residence","Built-up  ",625,"sq. ft.","Partly Furnished"
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM",6e+05,"Serviced Residence","Built-up  ",852,"sq. ft.","Partly Furnished"
"Cheras, Kuala Lumpur","RM",607000,"Serviced Residence","Built-up  ",865,"sq. ft.","Partly Furnished"
"Cheras, Kuala Lumpur","RM",530000,"Serviced Residence","Built-up  ",736,"sq. ft.","Partly Furnished"
"Salak Selatan, Kuala Lumpur","RM",670000,"Serviced Residence","Built-up  ",1122,"sq. ft.","Partly Furnished"
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM",590000,"Condominium","Built-up  ",555,"sq. ft.","Fully Furnished"
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM",740000,"Condominium","Built-up  ",708,"sq. ft.","Fully Furnished"
"Setapak, Kuala Lumpur","RM",265000,"Apartment (Intermediate)","Built-up  ",600,"sq. ft.","Unfurnished"
"Jalan Kuching, Kuala Lumpur","RM",580000,"Condominium (Intermediate)","Built-up  ",1260,"sq. ft.","Fully Furnished"
"Taman Desa, Kuala Lumpur","RM",450000,"Condominium (Intermediate)","Built-up  ",650,"sq. ft.","Fully Furnished"
"Cheras, Kuala Lumpur","RM",290000,"Condominium","Built-up  ",755,"sq. ft.","Unfurnished"
"Bukit Jalil, Kuala Lumpur","RM",538000,"Condominium","Built-up  ",1003,"sq. ft.","Unfurnished"
"Taman Desa, Kuala Lumpur","RM",510000,"Condominium (Intermediate)","Built-up  ",1068,"sq. ft.","Partly Furnished"
"Taman Desa, Kuala Lumpur","RM",380000,"Condominium (Intermediate)","Built-up  ",918,"sq. ft.","Unfurnished"
"Taman Melawati, Kuala Lumpur","RM",485000,"Serviced Residence (Intermediate)","Land area  ",901,"sq. ft.","Unfurnished"
"Kuchai Lama, Kuala Lumpur","RM",1030000,"Condominium","Built-up  ",1551,"sq. ft.","Partly Furnished"
"Kuchai Lama, Kuala Lumpur","RM",790000,"Condominium","Built-up  ",1150,"sq. ft.","Partly Furnished"
"Mont Kiara, Kuala Lumpur","RM",790000,"Condominium","Built-up  ",1286,"sq. ft.","Fully Furnished"
"Cheras, Kuala Lumpur","RM",580000,"Condominium (Intermediate)","Built-up  ",1010,"sq. ft.","Partly Furnished"
"Seputeh, Kuala Lumpur","RM",3400000,"Semi-detached House (Intermediate)","Land area  ",3200,"sq. ft.","Fully Furnished"
"Kepong, Kuala Lumpur","RM",530000,"Condominium (Corner)","Built-up  ",1030,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",3350000,"3.5-sty Terrace/Link House (Intermediate)","Land area  ",3326,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",4800000,"Bungalow (Intermediate)","Land area  ",5300,"sq. ft.","Partly Furnished"
"Country Heights Damansara, Kuala Lumpur","RM",11800000,"Bungalow (Corner)","Land area  ",8622,"sq. ft.","Partly Furnished"
"Seputeh, Kuala Lumpur","RM",1200000,"Condominium (Corner)","Built-up  ",1738,"sq. ft.","Fully Furnished"
"Seputeh, Kuala Lumpur","RM",3190000,"Semi-detached House (Intermediate)","Land area  ",3200,"sq. ft.","Partly Furnished"
"Federal Hill, Kuala Lumpur","RM",3350000,"3.5-sty Terrace/Link House (Intermediate)","Land area  ",3326,"sq. ft.","Partly Furnished"
"Sri Hartamas, Kuala Lumpur","RM",8500000,"Bungalow (Intermediate)","Land area  ",9500,"sq. ft.","Partly Furnished"
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM",928000,"Condominium (Intermediate)","Built-up  ",1523,"sq. ft.","Partly Furnished"
"Desa ParkCity, Kuala Lumpur","RM",1100000,"Condominium","Built-up  ",1378,"sq. ft.","Fully Furnished"
"Taman Tun Dr Ismail, Kuala Lumpur","RM",1050000,"Serviced Residence","Built-up  ",1313,"sq. ft.","Partly Furnished"
"Jalan Kuching, Kuala Lumpur","RM",620000,"Condominium","Built-up  ",1295,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",2800000,"Condominium (Penthouse)","Built-up  ",3543,"sq. ft.","Partly Furnished"
"Jalan Ipoh, Kuala Lumpur","RM",680000,"Townhouse (Intermediate)","Land area  ",1700,"sq. ft.","Unfurnished"
"Jalan Ipoh, Kuala Lumpur","RM",418000,"Townhouse (Intermediate)","Land area  ",970,"sq. ft.","Unfurnished"
"Jalan Ipoh, Kuala Lumpur","RM",2800000,"3-sty Terrace/Link House (Corner)","Land area  ",4510,"sq. ft.","Partly Furnished"
"Kuchai Lama, Kuala Lumpur","RM",320000,"Condominium (Intermediate)","Built-up  ",1132,"sq. ft.","Unfurnished"
"Jalan Ipoh, Kuala Lumpur","RM",718000,"2-sty Terrace/Link House (Intermediate)","Land area  ",1700,"sq. ft.","Unfurnished"
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM",760000,"Condominium (Intermediate)","Built-up  ",1483,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",830000,"Serviced Residence (EndLot)","Built-up  ",473,"sq. ft.","Fully Furnished"
"Bangsar, Kuala Lumpur","RM",4500000,"Bungalow (Corner)","Land area  ",9085,"sq. ft.","Unfurnished"
"Bukit Jalil, Kuala Lumpur","RM",645000,"Condominium (Corner)","Built-up  ",1410,"sq. ft.","Fully Furnished"
"Bukit Jalil, Kuala Lumpur","RM",418000,"Apartment","Built-up  ",972,"sq. ft.","Fully Furnished"
"Mont Kiara, Kuala Lumpur","RM",2535300,"Condominium (Intermediate)","Built-up  ",3729,"sq. ft.","Unfurnished"
"Taman Desa, Kuala Lumpur","RM",438000,"Serviced Residence (Corner)","Built-up  ",945,"sq. ft.","Unfurnished"
"Jalan Kuching, Kuala Lumpur","RM",450000,"Condominium (Intermediate)","Built-up  ",1050,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",2700000,"Condominium","Built-up  ",2615,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",2465000,"Condominium (Corner)","Built-up  ",2347,"sq. ft.","Partly Furnished"
"Mont Kiara, Kuala Lumpur","RM",2250000,"Condominium (Corner)","Built-up  ",2906,"sq. ft.","Partly Furnished"
"City Centre, Kuala Lumpur","RM",4650000,"Condominium (Duplex)","Built-up  ",3285,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",4e+06,"Condominium (Corner)","Built-up  ",4400,"sq. ft.","Fully Furnished"
"KLCC, Kuala Lumpur","RM",1.8e+07,"Condominium (Penthouse)","Built-up  ",15000,"sq. ft.","Partly Furnished"
"Sungai Besi, Kuala Lumpur","RM",6e+05,"Serviced Residence","Built-up  ",1025,"sq. ft.","Partly Furnished"
"Setapak, Kuala Lumpur","RM",390000,"Serviced Residence (Corner)","Built-up  ",1009,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",1.1e+07,"Semi-detached House","Land area  ",12000,"sq. ft.","Unfurnished"
"Bukit Tunku (Kenny Hills), Kuala Lumpur","RM",1.4e+07,"Bungalow","Land area  ",11981,"sq. ft.","Partly Furnished"
"Bukit Tunku (Kenny Hills), Kuala Lumpur","RM",1.5e+07,"Bungalow","Land area  ",19700,"sq. ft.","Partly Furnished"
"Bukit Tunku (Kenny Hills), Kuala Lumpur","RM",3500000,"Condominium (Intermediate)","Built-up  ",3627,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",2450000,"Serviced Residence (Intermediate)","Built-up  ",1103,"sq. ft.","Fully Furnished"
"KLCC, Kuala Lumpur","RM",4320000,"Serviced Residence (Corner)","Built-up  ",1560,"sq. ft.","Fully Furnished"
"KLCC, Kuala Lumpur","RM",2980000,"Serviced Residence (Corner)","Built-up  ",1103,"sq. ft.","Fully Furnished"
"Sri Hartamas, Kuala Lumpur","RM",2450000,"Condominium","Land area  ",2800,"sq. ft.","Fully Furnished"
"Cheras, Kuala Lumpur","RM",4e+05,"Condominium (Intermediate)","Built-up  ",927,"sq. ft.","Partly Furnished"
"Setapak, Kuala Lumpur","RM",470000,"Condominium (Intermediate)","Built-up  ",1313,"sq. ft.","Partly Furnished"
"Ampang Hilir, Kuala Lumpur","RM",4337256,"Condominium (Duplex)","Built-up  ",3563,"sq. ft.","Unfurnished"
"Setapak, Kuala Lumpur","RM",620000,"Condominium (Corner)","Built-up  ",1500,"sq. ft.","Unfurnished"
"Sentul, Kuala Lumpur","RM",838000,"Condominium (Intermediate)","Built-up  ",1383,"sq. ft.","Partly Furnished"
"Kepong, Kuala Lumpur","RM",525000,"Condominium (Intermediate)","Built-up  ",1074,"sq. ft.","Fully Furnished"
"Kepong, Kuala Lumpur","RM",350000,"Apartment (Intermediate)","Built-up  ",1001,"sq. ft.","Unfurnished"
"Kepong, Kuala Lumpur","RM",380000,"Apartment","Built-up  ",1001,"sq. ft.","Partly Furnished"
"Bandar Menjalara, Kuala Lumpur","RM",350000,"Serviced Residence","Built-up  ",986,"sq. ft.","Partly Furnished"
"Segambut, Kuala Lumpur","RM",340000,"Apartment (Intermediate)","Built-up  ",1045,"sq. ft.","Unfurnished"
"Sentul, Kuala Lumpur","RM",380000,"Apartment (Corner)","Built-up  ",1061,"sq. ft.","Unfurnished"
"Mont Kiara, Kuala Lumpur","RM",8e+05,"Serviced Residence (Corner)","Land area  ",1078,"sq. ft.","Fully Furnished"
"Jalan Kuching, Kuala Lumpur","RM",350000,"Apartment (Corner)","Land area  ",904,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",1473000,"Condominium","Land area  ",1551,"sq. ft.","Fully Furnished"
"Sri Petaling, Kuala Lumpur","RM",1450000,"3.5-sty Terrace/Link House (Intermediate)","Land area  ",1400,"sq. ft.","Fully Furnished"
"OUG, Kuala Lumpur","RM",1450000,"3-sty Terrace/Link House (Intermediate)","Land area  ",1400,"sq. ft.","Fully Furnished"
"KLCC, Kuala Lumpur","RM",2450000,"Serviced Residence (Intermediate)","Built-up  ",2500,"sq. ft.","Partly Furnished"
"Cheras, Kuala Lumpur","RM",550000,"Condominium","Built-up  ",1004,"sq. ft.","Partly Furnished"
"Jalan Kuching, Kuala Lumpur","RM",288000,"Condominium (Intermediate)","Land area  ",869,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",990000,"Serviced Residence (Corner)","Built-up  ",650,"sq. ft.","Fully Furnished"
"City Centre, Kuala Lumpur","RM",780000,"Condominium (Intermediate)","Built-up  ",1165,"sq. ft.","Fully Furnished"
"Bangsar, Kuala Lumpur","RM",670000,"Condominium (Intermediate)","Built-up  ",984,"sq. ft.","Partly Furnished"
"Taman Desa, Kuala Lumpur","RM",930000,"Condominium (Corner)","Built-up  ",1600,"sq. ft.","Partly Furnished"
"Jalan Kuching, Kuala Lumpur","RM",5e+05,"Condominium","Built-up  ",1200,"sq. ft.","Fully Furnished"
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM",599999,"Serviced Residence (Intermediate)","Built-up  ",785,"sq. ft.","Partly Furnished"
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM",699999,"Serviced Residence (Intermediate)","Built-up  ",953,"sq. ft.","Partly Furnished"
"Cheras, Kuala Lumpur","RM",206000,"Flat (Intermediate)","Built-up  ",760,"sq. ft.","Partly Furnished"
"Sungai Besi, Kuala Lumpur","RM",668000,"Condominium (Corner)","Land area  ",1260,"sq. ft.","Partly Furnished"
"Bangsar South, Kuala Lumpur","RM",690000,"Serviced Residence (Intermediate)","Built-up  ",800,"sq. ft.","Partly Furnished"
"Bangsar South, Kuala Lumpur","RM",410000,"Serviced Residence (Intermediate)","Built-up  ",550,"sq. ft.","Partly Furnished"
"Ampang, Kuala Lumpur","RM",680000,"Condominium (Penthouse)","Built-up  ",3000,"sq. ft.","Partly Furnished"
"Mont Kiara, Kuala Lumpur","RM",1200000,"Serviced Residence","Built-up  ",1029,"sq. ft.","Partly Furnished"
"Mont Kiara, Kuala Lumpur","RM",1200000,"Serviced Residence","Built-up  ",926,"sq. ft.","Fully Furnished"
"Mont Kiara, Kuala Lumpur","RM",1228380,"Serviced Residence (Intermediate)","Built-up  ",1041,"sq. ft.","Partly Furnished"
"Pantai, Kuala Lumpur","RM",850000,"Serviced Residence (Triplex)","Built-up  ",1400,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",9800000,"Condominium (Intermediate)","Built-up  ",8100,"sq. ft.","Partly Furnished"
"Sri Hartamas, Kuala Lumpur","RM",3500000,"Semi-detached House (EndLot)","Land area  ",3600,"sq. ft.","Partly Furnished"
"Sri Hartamas, Kuala Lumpur","RM",3900000,"Semi-detached House (Corner)","Land area  ",5360,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",3800000,"Condominium (Corner)","Built-up  ",3239,"sq. ft.","Partly Furnished"
"Cheras, Kuala Lumpur","RM",950000,"2-sty Terrace/Link House (Intermediate)","Land area  ",26,"sq. ft.","Partly Furnished"
"Bukit Bintang, Kuala Lumpur","RM",1360000,"Serviced Residence (Corner)","Built-up  ",1555,"sq. ft.","Fully Furnished"
"Mont Kiara, Kuala Lumpur","RM",1380000,"Condominium (Intermediate)","Built-up  ",1661,"sq. ft.","Fully Furnished"
"Cheras, Kuala Lumpur","RM",620000,"Condominium (Intermediate)","Built-up  ",1478,"sq. ft.","Unfurnished"
"City Centre, Kuala Lumpur","RM",988000,"Condominium (Corner)","Land area  ",1830,"sq. ft.","Fully Furnished"
"Wangsa Maju, Kuala Lumpur","RM",650000,"Apartment (Duplex)","Built-up  ",1900,"sq. ft.","Partly Furnished"
"Seputeh, Kuala Lumpur","RM",780000,"1-sty Terrace/Link House (Intermediate)","Land area  ",1400,"sq. ft.","Partly Furnished"
"Bukit Jalil, Kuala Lumpur","RM",2350000,"3-sty Terrace/Link House (Corner)","Land area  ",3541,"sq. ft.","Partly Furnished"
"KL City, Kuala Lumpur","RM",828000,"Serviced Residence (Intermediate)","Built-up  ",657,"sq. ft.","Fully Furnished"
"City Centre, Kuala Lumpur","RM",4270000,"Condominium (EndLot)","Built-up  ",3285,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",1720000,"Condominium (Corner)","Built-up  ",189,"sq. ft.","Partly Furnished"
"City Centre, Kuala Lumpur","RM",6700000,"Condominium (Corner)","Built-up  ",3750,"sq. ft.","Partly Furnished"
"City Centre, Kuala Lumpur","RM",5900000,"Condominium (EndLot)","Built-up  ",3285,"sq. ft.","Partly Furnished"
"Cheras, Kuala Lumpur","RM",950000,"2-sty Terrace/Link House (Intermediate)","Land area  ",22,"sq. ft.","Partly Furnished"
"KL Sentral, Kuala Lumpur","RM",2340000,"Serviced Residence (Corner)","Built-up  ",1873,"sq. ft.","Partly Furnished"
"KL Sentral, Kuala Lumpur","RM",4314800,"Serviced Residence (Intermediate)","Built-up  ",1541,"sq. ft.","Partly Furnished"
"Sungai Besi, Kuala Lumpur","RM",7e+05,"Condominium","Built-up  ",1990,"sq. ft.","Unfurnished"
"Setapak, Kuala Lumpur","RM",530000,"Condominium (Intermediate)","Built-up  ",1400,"sq. ft.","Partly Furnished"
"Setapak, Kuala Lumpur","RM",2700000,"Semi-detached House (Corner)","Land area  ",10736,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",1050000,"Condominium (Corner)","Built-up  ",2000,"sq. ft.","Fully Furnished"
"Bukit Jalil, Kuala Lumpur","RM",935000,"Condominium (EndLot)","Built-up  ",1513,"sq. ft.","Partly Furnished"
"Cheras, Kuala Lumpur","RM",399000,"Apartment (Intermediate)","Built-up  ",980,"sq. ft.","Unfurnished"
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM",379000,"Serviced Residence (Intermediate)","Built-up  ",775,"sq. ft.","Fully Furnished"
"Bandar Menjalara, Kuala Lumpur","RM",435000,"Condominium (Corner)","Built-up  ",1076,"sq. ft.","Partly Furnished"
